timestamp,speaker,words
00:00:19,Bowen Wei '25,Okay‚ so this Georgia Dentel project oral history interview is conducted on July 15 2024 by  Bowen Wei. The interviewee is Ed Senn‚ class of 1979 and Maya Albanese is the notetaker for  this interview. Before we start the interview‚ could you please reveal the legal release one last  time and confirm that you gave consent to this interview.
00:00:50,Ed Senn '79,I can confirm that I signed the legal release and I do give consent for this interview.
00:00:55,Bowen Wei '25,Thank you so much sir. So‚ to start this interview‚ would you like to introduce yourself?
00:01:04,Ed Senn '79,My name is Ed Senn. I'm a class of 1979. I am a biology major and I am a retired executive from  Verizon Corporation‚ where I worked for 27 years. As primarily the last one as vice president‚  public policy state government relations
0:01:29,Bowen Wei '25,Okay‚ thank you so much. So‚ you're from York‚ South Carolina‚ right? Is that correct? 0
0:01:37,Ed Senn '79,Yes‚ I was born and raised in South Carolina on a dairy farm.
00:01:45,Bowen Wei '25,Gotcha. So‚ why did you choose Grinnell?
00:01:51,Ed Senn '79,Well‚ my high school‚ last three years of high school‚ were spent in Falls church‚ Virginia. I  thought that I would be going to the University of Virginia or the College of Wayman and Mary.
00:02:08,Ed Senn '79,I actually went to a New Year's Eve party and there were two individuals there that were from  my same high school but older and one was going to Grinnell and the other was going to  Simpson College. And they both suggested that it would be advantageous to see a different part  of the country and recommended Grinnell and Simpson.
00:02:32,Ed Senn '79,And I had received information from Grinnell‚ which I‚ you know‚ through in a box and pulled it  out and filled out the information and sent it in and then I received a call from biology professor  since I expressed interest in that and I received a call from our swim coach.
00:02:52,Ed Senn '79,Since I was a swimmer in high school‚ I‚ applied to Grinnell and they offered me a very  generous financial aid package and said essentially that whatever I thought I was going to pay to  go to a state‚ in state school‚ is what I would pay a Grinnell. Obviously I would work and have  loans and.
00:03:14,Ed Senn '79,a financial aid package‚ but that. So I decided to come and visit and I did. In those days‚ you  flew to Des Moines‚ you got yourself from Des Moines airport into the Greyhound bus station  and you took a Greyhound bus to Grinnell. I had never been.
00:03:37,Ed Senn '79,Beyond the Mississippi and‚ when I got on the bus and I‚ we were coming out to Grinnell. I  noticed that A. there weren't any trees except by the‚ by the creeks or rivers that are in the towns‚  and two that.
00:03:57,Ed Senn '79,The Earth was‚ the dirt was black. I grew up with red clay. And‚ a third that‚ Iowa was not flat  that they were rolling hills‚ very similar to Grantwood. And when I came to visit on campus‚ I  was met by the student post.
00:04:19,Ed Senn '79,Spent the weekend at the Grinnell house‚ which is where prospective students were put up. And  went to classes and started snowing‚ and it was‚ you could say it was love at first sight. I really   thought that this would be the right place to be for four years.
00:04:39,Ed Senn '79,And it turned out to be one of the best decisions that I’ve made in my life.
00:04:43,Bowen Wei '25,Thank you. Yeah‚ Grinnell has a lot of good scenery‚ I'll say. So‚ what were your first  impressions of the town and the college?
00:05:02,Ed Senn '79,Yeah‚ first‚ that I would be spending four years in a rural setting‚ which was fine. The second  was that the campus was very self contained‚ that everything was there from the academics to  student life‚ to athletics.
00:05:26,Ed Senn '79,And third that the campus was beautiful. It was‚ looked like a wonderful place to spend your four  years studying and preparing for my future.
00:05:40,Bowen Wei '25,Yes. So since you mentioned that you studied biology earlier this interview.
00:05:50,Bowen Wei '25,And last time when we had our pre-interview‚ could you elaborate why you chose to major in  biology besides that a biology professor contacted you?
00:06:07,Ed Senn '79,Okay.
00:06:12,Ed Senn '79,Well‚ first I was always interested in sciences. My mother was a biology teacher in junior high.  Second is that when we were in Grinnell‚ basically the advisors said that.
00:06:32,Ed Senn '79,you should major in what you like because it's going to be very‚ very‚ very hard. And you're  probably gonna get a med school‚ law school or graduate school. And I love the‚ I love the  biology.
00:06:50,Ed Senn '79,Courses and the professors. And my third was probably I didn't like writing papers‚ you know.  And the biology department and the math department were less. There were more hands on labs‚  results‚ than
00:07:10,Ed Senn '79,Than writing the 20 page paper.
00:07:13,Bowen Wei '25,Yeah‚ the paper part is very‚ very relatable. Grinnell is very‚ provides a very ambitious education  in social sciences and humanities.
00:07:29,Ed Senn '79,Well‚ the writing skills that Grinnell teaches you are very important and very key to general‚ at  least for me‚ for a very successful career and being able to express yourself both with the written  word and with the spoken word.
00:07:48,Ed Senn '79,Grinnell provides a very strong background so that you can communicate and‚ perhaps‚ persuade  perhaps‚ report‚ perhaps‚ you know‚ build a‚ a career which enhances‚ you know‚ your time with  other people.
00:08:11,Bowen Wei '25,Yes‚ definitely. So‚ could you also describe your favorite class‚ favorite professor or your  academic advisor?
00:08:23,Ed Senn '79,36
00:08:26,Ed Senn '79,Well‚ my‚ those are tough‚ tough questions. So let's take them in reverse order. My academic  advisor‚ you know‚ obviously was my freshman tutorial‚ which was in the biology department. It  was mans moles‚ and microbes. And we studied Chemos‚ the plague‚ the book the plague.
00:08:46,Ed Senn '79,Like and‚ so I had‚ I ended up with the chair of the department being my last advisor who gave  me great advice in coaching and he was the crust professor in those days.
00:09:03,Ed Senn '79,You know‚ he probably drank 50 cups of coffee a day and he smoked cigarettes at his desk and  he had a gravity voice. And he‚ he said “Senn‚ you have a problem finding the right answers.  Why don't you focus on getting the right questions?” And I was like‚ well‚ that's a pretty good  idea.
00:09:23,Ed Senn '79,And‚ so he‚ Professor Fishman was dedicated to his students and to the college. You know‚ my  favorite professor‚ tough call but probably Professor Dixarvene who was in the art department  and‚ very‚ very talented artist in his unwrite. Ave Grinnell alumnis.
00:09:49,Ed Senn '79,And he‚ taught‚ art history‚ world Art history class or American art history‚ eight o’clock in the  morning‚ and‚ he‚ he brought it to life. And I think if you talk to any other students who had.
00:10:08,Ed Senn '79,A Professor Cervine‚ you would encounter sort of this spirit and joy of life that he embodied  and‚ was just a wonderful.
00:10:29,Bowen Wei '25,Ambassador for the college and inspiration.   Bowen: Yeah‚ so how would you describe the sort of‚ the influences of our history on your  during your time in Grinnell?
00:10:51,Ed Senn '79,Well‚ first of all‚ it's outside of the science department‚ which I think is important in a liberal  arts education‚ in exploring various parts of the college. Second is that
00:11:18,Ed Senn '79,When a professor‚ you know‚ loves their subject or has such an enthusiasm for the subject that  they're teaching‚ it's somewhat contagious and it helps you develop a certain appreciation for that  subject.
00:11:38,Ed Senn '79,And so I have a greater appreciation for art‚ due to professor Cervine. And third
00:11:54,Ed Senn '79,Having the science background‚ you know‚ providing balance and seeing beauty‚ whether it's in  the cell‚ formations or‚ in a painting of Grant Wood.
00:12:13,Ed Senn '79,I can still recall that one of the papers‚ maybe the major paper I wrote on it‚ was about‚ that was  for American artistory‚ was on.
00:12:31,Ed Senn '79,They were called Happenings. It was in the sixties and‚ the artists would‚ you know‚ it might  think of Annie Linux and performance art now with musical artists‚ but.
00:12:49,Ed Senn '79,They open up‚ you know‚ Art opens up different avenues for both thinking about issues‚  problems‚ ideas‚ and‚ he certainly opened up‚ many many doors for me..
00:13:07,Bowen Wei '25,So‚ it seems that your life at Grinnell was very artsy and both very encompassed both science  and a lot of the very artsy stuff‚ is that correct?
00:13:27,Ed Senn '79,I don't know‚ I don't know how you define Artsy stuff. I mean you can I can say to you that I  was a singer‚ while I was there‚ we had a student organized group called the Celestial Sacred  Harp Singers. Student ran‚ student organized.
00:13:47,Ed Senn '79,Where we sang early American religious folk music‚ which is shape notes. It's still sung today.  But you know we would.
00:14:02,Ed Senn '79,During exam times‚ we would sing in the library or in the dining halls to provide‚ a little joy for  the students that were there. But I also
00:14:19,Ed Senn '79,I was on the judicial council. I was also on the first men's volleyball team at the college. I was‚ I  was in the biology department‚
00:14:39,Ed Senn '79,It was a student advisory group‚ but I don't know what S‚ I think we were the SEPCs or  something like that‚ where you went to faculty meetings or gave advice on hiring and things like  that. So I‚ and I was also in a play.
