Speaker;Start Timestamp;End Timestamp;Transcript
";00:00;00:07;""Perfect. All right"," we are recording. Let me just turn off my outlook notifications because"""
";00:07;00:27;""meaning a lot of them. Perfect. So this this following the following interview was conducted with Althea Ricketts on behalf of the Georgia dental summer map for"
Grinnell concerts, Georgia dental and student life in history and memory project. It took place on. Let me just confirm the date July 29th," 2024."""
";00:27;00:39;""And the interviewer is Hayden Suarez Davis. We already have the legal release", so that's all good. So would you just begin by introducing yourself, your name, your
"class year and where do you live and what do you do now?"""
";00:39;00:47;""So my name is Althea Ricketts. I'm the class of 1986."""
";00:47;00:52;""I'm the vice president of corporate initiatives at Sure Incorporated."""
";00:53;00:59;""And they're located right outside of Chicago and a suburb called Niles. That's where our corporate offices are."""
";00:59;01:04;""I'm responsible for things related to sustainability","
;01:04;01:09;inclusion", diversity," equity and access. And I also manage"""
";01:09;01:16;""a program office where I have a bunch of project managers managing enterprise wide projects."""
";01:17;01:18;""So", um," I think that's a great question."""
";01:18;01:29;""Perfect. All right. So", um, at Grinnell, um, you started class of 86. What did you study? And, uh, if you had a favorite class or professor, just something that really
sticks out in your mind," could you share that?"""
";01:30;01:34;""So", um," so my major was sociology."""
";01:34;01:42;""Um", it was so long ago. I barely remember my teachers," but."""
";01:42;01:45;""But I had 1 teacher by the name of Ilsa lighting her."""
";01:45;01:49;""She was a sociology professor. She was 1 of my favorites."""
";01:49;01:51;""She was"," um."""
";01:51;01:56;""revolutionary for her time and I really looked up to her. She was a badass."""
";01:56;01:57;""Mm hmm."""
";01:57;02:08;""Nice. Okay. Um", and then, uh, can you describe sort of your main activities at Grinnell College? What were you? What were you? Um, what were you doing extracurricular
"wise?"""
";02:08;02:11;""So", um, babe," Bortman."""
";02:11;02:18;""Babe was the head of our dance department at the time. Her husband was also a professor there."""
";02:18;02:26;""They lived in that Frank Lloyd Wright house that's in Grinnell. If you're not aware"," there's a Frank Lloyd Wright house in Grinnell."""
";02:27;02:32;""Um"," she was the head of the dance program and I was part of the dance troupe. I was very involved in dancing."""
";02:32;02:38;""I lived on South campus at the time that was called like the artsy part of campus."""
";02:38;02:47;""South was artsy North was more athletic because North was closer to the PC and South was closest to the theater."""
";02:47;02:52;""So my extracurricular activity was centered around the arts."""
";02:52;02:55;""Uh", music, dance," theater."""
";02:56;03:03;""Um", perfect. And you were, uh, and you were a concerts, you were concerts chair," right? Can you just remind me what?"""
";03:03;03:04;""Yes."""
";03:04;03:10;""You know"," I want to say it was like maybe 84 85 86."""
";03:10;03:18;""Um", I want to say I didn't do it for my last year," but I might have."""
";03:18;03:22;""It's very cloudy"," but it was at least two years between."""
";03:22;03:24;""84 and 86."""
";03:25;03:29;""Perfect. I mean", yeah, I mean, I don't know. It all goes by so fast," right? It's kind of hard to."""
";03:29;03:36;""Yeah. And so just how would you describe sort of the general atmosphere", um, student culture wise at, uh," during your time at Grinnell?"""
";03:38;03:42;""It was the best of times. I", you know," my son."""
";03:42;03:45;""While he was in college"," I kept telling him."""
";03:45;03:46;""Enjoy it."""
";03:46;03:52;""Back then Grinnell was", um," I lived on campus just my freshman year."""
";03:53;03:57;""And then I went off campus and student housing and then I lived in."""
";03:57;04:01;""The houses around campus on high street on."""
";04:01;04:04;""Yeah", um," on six."""
";04:04;04:09;""Um", the, the atmosphere was very much," you know."""
";04:11;04:16;""I think I was the last class where 19 was the drinking age."""
";04:16;04:18;""The pub."""
";04:19;04:23;""I just remember just having a good old time with students and music."""
";04:23;04:25;""Was really important."""
