Speaker,Start Timestamp,End Timestamp,Transcript
Speaker 1,0:02,0:32,"Beautiful. All right. So I'm going to get started with a brief introduction. This interview is conducted with Leif Larson on behalf of the Georgia Dentel Summer Mentor Advanced Project for Grinnell Concerts, Georgia Dentel, and Student Life in History and Memory Project. The interviewer is Faye Henn, and the note-taker for this interview is Miles Brown. It takes place on July 28th, 2025 on WebEx. So, could Leif, could you start by just introducing yourself?"
Speaker 2,0:33,1:07,"I'm Leif Larson, class of 1988 from Grinnell. I was concerts chair my senior year at Grinnell, nineteen eighty seven, nineteen eighty eight. I was also on the Films Committee a couple of years, which had some interaction with Georgia, although not extensively there. And first spoke with Georgia actually first year. My first year, I was on the concerts committee, and the chair was Fred Klatz, Dan Klatz. I'm not sure what he's going by these days. I assume you've spoken with him? Or someone has?"
Speaker 1,1:08,1:09,"Yes, I think last summer."
Speaker 2,1:10,1:39,"Okay, and he wanted me to succeed him as concerts chair - was hoping I might succeed him as concerts chair. And so Georgia, being Georgia and not on campus, reached out and called me when I was a first year and started building a relationship with me, you know, asking me questions, and had heard about my record collection somehow through her, you know, eyes and ears on campus and things like that."
Speaker 1,1:41,1:48,That's very cool. Could you also fill me in a little bit about your hometown and your career path post Grinnell?
Speaker 2,1:49,4:33,"Okay. So I grew up in Minneapolis, Minnesota, went to Odina High School, Minnesota, before I went to Grinnell. After Grinnell, it's been kind of circuitous. Let's see. I moved to San Francisco after I graduated, worked in bookstores there. Moved back to Minneapolis because my then girlfriend and now wife was still a Grinnell student. Actually, I was in San Francisco, thought I was moving to New York, but then ended up friends, Grinnell friends had found a great apartment in Minneapolis and ended up staying in Minneapolis instead. Then stayed there, went to grad school in history. I wanted to be an architectural historian, but was persuaded that was not a prudent career path, so I went to law school instead. Went to William Mitchell College Law in St. Paul and got my degree there. Got out, worked as an attorney for a while, and then I went and worked for arts organization in St. Paul, the Schubert Club, that does classical presenting. Primarily recital music, but they also had art song festivals and a big education program. So I worked for them for a few years running their scholarship programs. They have a big competition for classical musicians. We also launched a competition for jazz musicians during that time. So I kind of ran that side of things for them and also did development work for them. And then while I was there, Minnesota Public Radio got in touch with me. And they were looking for someone to run a theater that they own, the Fitzgerald Theater in St. Paul, where Garrison Keeler did a Program Companion, and they wanted to do other programming there since they owned the theater and Paraguayan Companion. And had a significant control, but there were plenty of open dates there. So eventually I decided to take that position and I went to Minnesota Public Radio. And was their senior producer for performing live events, excuse me, for a few years. So I did that. And then after that, I did various things in the arts and was an ad copywriter, but eventually went back to being an attorney, and that's what I do now. I do mostly intellectual property work, patents and copyright or excuse me, patent and trademark work primarily."
Speaker 1,4:34,4:44,Gotcha. And then could you tell me what initially led you to Grinnell when you were looking at colleges?
Speaker 2,4:44,6:33,"You know, I was really, I did not have a lot of guidance for my family on colleges, but I did have an uncle who was in Grinnell. He had been a, I forget the name Grinnell used for it, but we had resident advisors were the students that lived on the floor and worked with students that way. So those were college students, but then they also had somewhat older people or couples that lived in the dorms, like one couple per couple dorms or something. And my aunt and uncle did that, and then he moved over into student affairs. So he was assistant dean for student affairs, so he invited me down. As a prospective student, when I was it was I guess I went down my junior year in high school. Was it sophomore sophomore or junior year in high school? Maybe it might have been sophomore year, it felt early in the process for me. So I went down with some friends who weren't really interested in Grinnell, but were just kind of along for the trip. So I went down. Had a good visit to everything, but didn't feel like Grinnell was the right choice for me at the time, like, felt a little granola, a little hippie for me and I was all about punk rock at the time. But something changed between that time and senior year. And I only ended up applying to a handful of colleges. Ended up, Grinnell was the choice. And it's hard to explain how it, you know, I really don't have a strong recollection of what... I didn't get into one of my other top choices. So I got into three or four schools I applied to and Grinnell was felt like the best choice."
Speaker 1,6:35,6:45,"Gotcha. That makes a lot of sense. And then this is a little bit, I know you mentioned that your impression of Grinnell was a little more on the hippie side and you were on the punk rock side. I was wondering if you could elaborate more on that and what your first impressions were of Grinnell once you actually arrived there as well."
Speaker 2,6:55,8:48,"I mean, it's pretty much what I said. I mean, it was very much long hairs and it felt like the sixties was very much alive at Grinnell and continued that way, I feel, in the eighties even. It was very much you know, which ultimately came to be feel as a positive, that it was free-spirited and people were independent-minded and all. But when I was looking at schools initially, it just wasn't the vibe I was looking for because it's silly now, but punk rock was all about. I didn't want to listen to any music recorded before 1977 kind of thing. I did, but, but that's really where my attention was. And music was a big thing for me. I was going out to a lot of shows in Minneapolis at the time. I don't know that I was necessarily looking for a music scene when I went to a college, but and I didn't know about Grinnell's concerts history when I applied or anything. But it it just didn't feel like the right vibe. We also had kind of a weird experience, and I don't know what Student Affairs was thinking, but we were housed in Gates Ross and Tower on the top floor with a bunch of football players. Were really into chewing tobacco, so they had like big, like five gallon buckets of chew spit and tips all around the wall. Probably not so big in college these days. So, and then they decided to throw a kegger since we were there, and then had people go up on the roof of snowing and go up on the roof. And in the middle of the night, some guy started kicking on the door in the room I was staying in at like three in the morning. It was it was very"
