speaker,timestamp,words
Ronald Taylor,0:00,"Record it. Okay, there we go."
Miles Brown,0:02,Okay.
Taylor,0:02,And did you set the transcript recording on as well? Because I'm.
Brown,0:08,Yeah. Yeah.
Taylor,0:10,All right. So we should be okay.
Brown,0:12,Yeah. All right. Here we go.
Perlman,0:14,Very cool.
Brown,0:16,"Okay. I can take it away. So today is September 18th, 2025, 9:06 a.m. My name is Miles Brown. On behalf of the George Dentel Project, thank you. I'm here with Sam Perlman. Just to start off the base, you've received a release form and have provided to us at this time."
Perlman,0:32,I did.
Brown,0:32,"Okay, great. Then we can kind of start. I just kind of as an introduction, can you tell us a little bit about yourself and your background before you came to Grinnell?"
Perlman,0:40,"Um... Sure. So my name is Sam Perlman. Grinnell College class of nineteen ninety. I was a music major with an undeclared concentration in Russian and Eastern European studies. I'm a native of Chicago. I attended the University of Chicago Lab Schools, K-12, and that's how I wound up coming to Grinnell."
Brown,1:03,So you you come to Grinnell and immediately are you interested in music? Like are you set on being a music major? Is that kind of something you stumble into?
Perlman,1:11,"No, one hundred percent. I wanted to be a music major. I did not want to be a musician, but I wanted to work in the music business. And that was one hundred percent my career objective. And Ultimately, that's what I did after college. But yeah, I wanted to be a music major and yeah."
Brown,1:34,"Do you remember your first impressions of the Grinnell concert scene, Grinnell music in general?"
Perlman,1:43,"Actually, I can't say that I really recall anything in particular. I got involved with student government and SGA pretty early, and ultimately, by the time the end of my sophomore year is when I knew that I wanted to try and become concerts chair. Attached my kind of attached myself to Greg Evans, who was running for SGA president. And With w you know, sort of like, you know, if I felt like if I supported Greg that he would appoint me to be concert chair, and that's kind of how it happened."
Brown,2:28,"Kind of on that point of concert chair, what would you say was your main motivating factor? Was it just interest in music? Did you want to see a change in the department itself?"
Perlman,2:39,"I certainly I mean, we were I again, my aspiration was to pursue the music industry. So I saw that as a pathway. And I know obviously I know this is the the Georgia Dentel Project. And you are I know you know that that was the changes that occurred as I became Concerts Chair were controversial. And actually, I meant to look back in the old S&B Archives and because, yeah, there were a lot of letters to the editor and there was a lot of back and forth. But the intention was to make have the Concerts Chair and have the concerts program be more student directed and not led by an administrator. And that was that was yeah, that was what we were trying to achieve, was to make that make the con- the SGA concerts program more student-led."
Brown,3:46,"So you're pushing this effort to like democratize kind of the program. You're setting up a committee kind of or kind of bringing back the committee into focus. Do you remember what it was like to work with other people to book concerts once again? I mean, was that kind of a new process? How did you feel?"
Perlman,4:03,"Yeah, I mean, it was again, it wasn't the the push was to make it more of a student-led effort, to have a Concerts Committee that both actively worked on pursuing artists to bring to campus as well as working on all of the the aspects of of hosting and setting up those concerts, you know, however often we did that. And my recollection Is that then and I and I served as Concerts Chair for two years, one year under Greg Evans, and then the next year with Rob Killion as SGA president. you know, there ultimately was a sort of a separation between SGA Concerts and other concert events that Georgia Dentel did her own programming that was separate from the SGA concerts program."
Brown,5:11,"Remember, I guess, kind of you're one of the first students kind of to take back concerts and have it as a student-led role where you're the the person doing it, right? Do you remember what it was like to work with agents, kind of booking them. And any memorable stories about booking a band or working with a band in general from this time period?"
